"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.300068427E2,6.501227930E1,2.546835354E1,4.290161509E1,3.094056859E-1,1.411254911E2,4.675200974E0,3.459339949E0
1.310068346E2,6.501226819E1,2.546839435E1,4.420959686E1,9.295361547E-1,1.223225495E2,4.676028333E0,3.458221517E0
1.320068252E2,6.501225747E1,2.546841376E1,4.513993077E1,8.550611116E-1,1.324263665E2,4.676523884E0,3.457551359E0
1.330068216E2,6.501224500E1,2.546844624E1,4.596547236E1,7.796735054E-1,1.347493432E2,4.672784271E0,3.462603672E0
1.340068097E2,6.501224195E1,2.546847343E1,4.692756454E1,6.240023366E-1,1.309257454E2,4.671509628E0,3.464323142E0
1.350068020E2,6.501223401E1,2.546850770E1,4.677239218E1,7.258409048E-1,1.261350266E2,4.673507550E0,3.461627394E0
1.360067934E2,6.501222330E1,2.546854884E1,4.771393446E1,6.926471049E-1,1.237400301E2,4.678198542E0,3.455285146E0
1.370067835E2,6.501221737E1,2.546857918E1,4.825943423E1,5.169919918E-1,1.165426427E2,4.685521651E0,3.445348152E0
1.380067761E2,6.501221416E1,2.546858900E1,4.913243923E1,2.661324470E-1,1.162554119E2,4.694851914E0,3.432623274E0
1.390067697E2,6.501221536E1,2.546862378E1,4.991507035E1,2.499195402E-1,1.162554416E2,4.705315318E0,3.418266343E0
1.400067617E2,6.501220674E1,2.546864762E1,5.055929434E1,3.606497426E-1,1.162554640E2,4.702600350E0,3.422000435E0
1.410067564E2,6.501219736E1,2.546867739E1,5.067022688E1,6.704026853E-1,1.217045933E2,4.697181067E0,3.429435385E0
1.420067456E2,6.501218981E1,2.546871257E1,5.139251950E1,8.642314585E-1,1.214382276E2,4.691312616E0,3.437458796E0
1.430067378E2,6.501218440E1,2.546873922E1,5.112154484E1,9.366770235E-1,1.223822635E2,4.684398775E0,3.446874693E0
1.440067284E2,6.501217550E1,2.546876673E1,5.148577598E1,9.940826013E-1,1.191256812E2,4.677195091E0,3.456643331E0
1.450067207E2,6.501216590E1,2.546878472E1,5.195030832E1,7.662493704E-1,1.274077565E2,4.666670696E0,3.470838753E0
1.460067141E2,6.501216314E1,2.546880011E1,5.178855390E1,4.867778367E-1,1.262211877E2,4.670365658E0,3.465865209E0
1.470067048E2,6.501215931E1,2.546881791E1,5.200971841E1,6.064413102E-1,1.296825806E2,4.665004305E0,3.473078155E0
1.480066977E2,6.501215111E1,2.546884101E1,5.265843027E1,7.160231347E-1,1.292196450E2,4.667018634E0,3.470370889E0
1.490066907E2,6.501214696E1,2.546886580E1,5.309926302E1,7.048173681E-1,1.253586716E2,4.671611420E0,3.464185874E0
1.500066810E2,6.501213703E1,2.546890267E1,5.324766713E1,9.659495033E-1,1.234203269E2,4.653942506E0,3.487887066E0
1.510066751E2,6.501213390E1,2.546892772E1,5.364533497E1,8.935031457E-1,1.179528869E2,4.653484792E0,3.488497717E0
1.520066674E2,6.501212969E1,2.546893281E1,5.364634402E1,7.862340420E-1,1.200913342E2,4.655129033E0,3.486303303E0
1.530066595E2,6.501212612E1,2.546895062E1,5.348822293E1,8.521480285E-1,1.187629533E2,4.651174953E0,3.491576806E0
1.540066510E2,6.501212036E1,2.546896888E1,5.340754748E1,8.407838011E-1,1.233692573E2,4.652051888E0,3.490408323E0
1.550066442E2,6.501210705E1,2.546898411E1,5.311081988E1,9.304802884E-1,1.331515044E2,4.657029987E0,3.483763587E0
1.560066353E2,6.501210107E1,2.546901634E1,5.308736280E1,1.088410267E0,1.270488424E2,4.661117504E0,3.478292777E0
1.570066265E2,6.501210115E1,2.546904167E1,5.315347728E1,9.405313179E-1,1.182089032E2,4.660644980E0,3.478925898E0
1.580066204E2,6.501210291E1,2.546907604E1,5.293452195E1,8.744968335E-1,1.053906484E2,4.663483334E0,3.475120175E0
1.590066165E2,6.501209911E1,2.546910059E1,5.271796626E1,7.430177803E-1,1.089855525E2,4.653332997E0,3.488700195E0
1.600066086E2,6.501209532E1,2.546913562E1,5.253387468E1,8.198073268E-1,1.059990637E2,4.655060716E0,3.486394522E0
1.610065973E2,6.501208805E1,2.546916609E1,5.253227288E1,8.238664783E-1,1.125686977E2,4.653456276E0,3.488535755E0
1.620065928E2,6.501207924E1,2.546919575E1,5.220442306E1,9.252877042E-1,1.152633038E2,4.655244656E0,3.486148910E0
1.630065845E2,6.501207254E1,2.546922259E1,5.201998659E1,9.091190260E-1,1.184371129E2,4.646480080E0,3.518250667E0
1.640065733E2,6.501206415E1,2.546924959E1,5.232367700E1,8.876772678E-1,1.225943771E2,4.648760973E0,3.535210545E0
1.650065689E2,6.501205807E1,2.546928387E1,5.201189621E1,9.284692455E-1,1.179063284E2,4.657675287E0,3.531305365E0
1.660065585E2,6.501205332E1,2.546930226E1,5.262404334E1,6.588610941E-1,1.156002168E2,4.663519752E0,3.546368629E0
1.670065508E2,6.501205133E1,2.546933578E1,5.192290343E1,8.303021966E-1,1.095002445E2,4.656914501E0,3.550612189E0
1.680065436E2,6.501204380E1,2.546935702E1,5.181247127E1,7.432382154E-1,1.128578529E2,4.650883049E0,3.557024098E0
1.690065382E2,6.501203274E1,2.546937616E1,5.176541021E1,7.193807787E-1,1.184011512E2,4.632620595E0,3.563692668E0
1.700065281E2,6.501201868E1,2.546939424E1,5.155212532E1,7.466988585E-1,1.251672898E2,4.610954008E0,3.564229308E0
1.710065212E2,6.501201225E1,2.546941589E1,5.107583393E1,7.335548402E-1,1.221087884E2,4.615158354E0,3.577539006E0
1.720065128E2,6.501200782E1,2.546943802E1,5.083084745E1,7.603731054E-1,1.193678794E2,4.613585262E0,3.571944526E0
1.730065057E2,6.501200619E1,2.546946637E1,5.092860764E1,8.453702885E-1,1.118976128E2,4.607081397E0,3.582679550E0
1.740064977E2,6.501200366E1,2.546947986E1,5.044592354E1,7.242835510E-1,1.141651615E2,4.597375248E0,3.576280067E0
1.750064894E2,6.501200086E1,2.546949856E1,5.036176078E1,7.226495928E-1,1.128438262E2,4.590334568E0,3.580048225E0
1.760064830E2,6.501199428E1,2.546952636E1,5.027138970E1,8.771128849E-1,1.120371570E2,4.577617116E0,3.587472449E0
1.770064752E2,6.501198572E1,2.546954566E1,5.001854771E1,8.372669134E-1,1.145612257E2,4.566510504E0,3.601599485E0
1.780064702E2,6.501197797E1,2.546956733E1,4.977526632E1,8.220232097E-1,1.161793644E2,4.563768520E0,3.605073359E0
1.790064605E2,6.501197143E1,2.546958358E1,4.963628604E1,6.907646054E-1,1.170674424E2,4.572327066E0,3.594212325E0
1.800064555E2,6.501196467E1,2.546960919E1,4.959030974E1,9.630798185E-1,1.145714339E2,4.570294169E0,3.596796942E0
1.810064440E2,6.501196281E1,2.546962472E1,4.943433506E1,8.302607220E-1,1.132425645E2,4.575458510E0,3.590225126E0
1.820064360E2,6.501195962E1,2.546964156E1,4.955932128E1,6.959357044E-1,1.135915608E2,4.590701044E0,3.581675653E0
1.830064317E2,6.501195476E1,2.546965370E1,4.951142473E1,5.544772400E-1,1.154299897E2,4.614607772E0,3.582549758E0
1.840064241E2,6.501195053E1,2.546967243E1,4.934647150E1,5.286718067E-1,1.128313379E2,4.614760635E0,3.595480001E0
1.850064137E2,6.501194233E1,2.546969466E1,4.948656669E1,7.185034568E-1,1.163784675E2,4.639116792E0,3.594304212E0
1.860064061E2,6.501194064E1,2.546971035E1,4.925940253E1,7.446332188E-1,1.126378984E2,4.639548163E0,3.604287974E0
1.870063984E2,6.501193876E1,2.546972651E1,4.901655835E1,7.579501636E-1,1.099712417E2,4.633055333E0,3.659670837E0
1.880063916E2,6.501193711E1,2.546972935E1,4.917799515E1,6.289362032E-1,1.131870276E2,4.638587645E0,3.679557988E0
1.890063866E2,6.501193922E1,2.546976159E1,4.957628408E1,9.129313816E-1,1.097805534E2,4.621211664E0,3.698853382E0
1.900063795E2,6.501193608E1,2.546978880E1,4.869849897E1,9.862365548E-1,1.092885547E2,4.620389745E0,3.726683184E0
1.910063678E2,6.501193106E1,2.546981262E1,4.857873888E1,1.035910891E0,1.101874364E2,4.620679406E0,3.734714965E0
1.920063609E2,6.501192869E1,2.546983359E1,4.879955322E1,8.691102598E-1,1.081513527E2,4.625862348E0,3.744304161E0
1.930063560E2,6.501191870E1,2.546985331E1,4.878111901E1,8.023931327E-1,1.098792987E2,4.635812240E0,3.752057906E0
1.940063467E2,6.501191689E1,2.546988063E1,4.866642284E1,7.612646983E-1,1.046540262E2,4.638959115E0,3.762525080E0
1.950063386E2,6.501191434E1,2.546989546E1,4.913837524E1,5.464558527E-1,1.007395119E2,4.642640675E0,3.774852454E0
1.960063417E2,6.501190636E1,2.546992413E1,4.978061874E1,6.635172537E-1,9.253717280E1,4.622625431E0,3.800845220E0
1.970063221E2,6.501189724E1,2.546994101E1,4.958081608E1,6.782431029E-1,1.008628431E2,4.622316452E0,3.810109840E0
1.980063155E2,6.501189527E1,2.546996793E1,4.951752622E1,7.467609585E-1,9.779130099E1,4.630283314E0,3.820040911E0
1.990063090E2,6.501188768E1,2.547000534E1,4.904256274E1,8.840457880E-1,9.843001857E1,4.632955251E0,3.845538851E0
2.000063007E2,6.501188884E1,2.547003283E1,4.877910391E1,7.168508456E-1,8.477949747E1,4.616742506E0,3.871751216E0
2.010062937E2,6.501188547E1,2.547005070E1,4.867527435E1,6.226659986E-1,8.010785497E1,4.612675777E0,3.882500715E0
2.020062851E2,6.501187952E1,2.547006463E1,4.849570246E1,4.704176474E-1,8.728341891E1,4.599782027E0,3.900849082E0
2.030062771E2,6.501188031E1,2.547008685E1,4.874034319E1,6.181167490E-1,8.051547911E1,4.605733549E0,3.907653382E0
2.040062701E2,6.501188345E1,2.547010430E1,4.852345984E1,6.676639397E-1,8.059523484E1,4.616938776E0,3.924183633E0
2.050062623E2,6.501188193E1,2.547012569E1,4.810392330E1,7.154526370E-1,8.428753651E1,4.639521894E0,3.926559197E0
