"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.593819708E0,4.289435542E-1,1.497986484E-1,-5.657543671E-1
1.603866708E0,5.541982225E-1,6.364051044E-2,-7.117008698E-1
1.613913708E0,6.599132502E-1,1.244579852E-2,-7.392149431E-1
1.623960708E0,7.326146060E-1,5.307780772E-2,-8.309443080E-1
1.634007708E0,5.645681132E-1,1.086216787E-1,-8.837879348E-1
1.644054708E0,4.137647671E-1,1.651358950E-1,-8.894872159E-1
1.654102708E0,4.338387700E-1,1.846930772E-1,-8.647529089E-1
1.664149708E0,4.967576610E-1,2.759315684E-1,-8.144545752E-1
1.674196708E0,4.561727949E-1,3.917099467E-1,-8.593062276E-1
1.684243708E0,4.778378984E-1,3.806949618E-1,-7.418707484E-1
1.694290708E0,3.821327922E-1,3.471345752E-1,-3.460417306E-1
1.704337708E0,1.727692158E-1,2.223555779E-1,8.147217929E-2
1.714384708E0,7.955436565E-2,1.321625689E-1,3.157765424E-1
1.724431708E0,6.805164993E-2,8.842627287E-2,1.925429642E-1
1.734478708E0,2.587710503E-1,2.559466624E-1,-1.103556705E-1
1.744525708E0,4.210736404E-1,5.079438230E-1,-1.173787612E-1
1.754572708E0,5.395907083E-1,7.209994045E-1,5.403061152E-2
1.764619708E0,6.559117082E-1,8.970251539E-1,6.517657399E-2
1.774667708E0,7.404111372E-1,8.348566800E-1,7.189736366E-3
1.784714708E0,7.406822287E-1,6.207325199E-1,-1.147434211E-1
1.794761708E0,7.135616000E-1,3.818684980E-1,-5.723547041E-2
1.804808708E0,7.407156309E-1,3.516840014E-1,-6.366039097E-2
1.814855708E0,8.475020148E-1,3.922879440E-1,3.569198906E-2
1.824902708E0,9.781994907E-1,3.796602970E-1,-9.823380768E-2
1.834949708E0,9.783876979E-1,3.031632212E-1,-2.292763424E-1
1.844996708E0,7.893207572E-1,2.008910340E-1,-9.069382310E-2
1.855043708E0,4.978473261E-1,1.553733838E-1,2.182180882E-1
1.865090708E0,3.700250724E-1,2.566682088E-1,3.568234116E-1
1.875137708E0,4.101938725E-1,3.095469189E-1,1.549196398E-1
1.885185708E0,4.659574525E-1,2.868994832E-1,8.099797010E-2
1.895232708E0,4.979690213E-1,3.729453546E-1,1.475696898E-1
1.905279708E0,5.686841876E-1,3.216635191E-1,2.670300597E-1
1.915326708E0,6.001809822E-1,4.297074929E-1,3.477286524E-1
1.925373708E0,5.403945543E-1,5.241388562E-1,6.401876682E-1
1.935420708E0,4.254325570E-1,4.185571450E-1,9.588492268E-1
